Date,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,Detailed offence,Punishment,No of days,Count,Sum
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Caution,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Cellular Confinement,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Others,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,a Asian or Asian British,i No religion,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,Caution,.,3,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,Cellular Confinement,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Absent from where he should be/Present where he should not,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,21,2,42
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Attempts: Assault on a prisoner,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,28,2,56
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,Cause damage to any part of a prison,Others,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Cellular Confinement,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,14,3,42
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Removal from activity/living unit,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Stoppage of earnings,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Caution,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,14,3,42
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Stoppage of earnings,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Stoppage of earnings,28,2,56
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,21,2,42
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Stoppage of earnings,28,3,84
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Cellular Confinement,5,1,5
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on staff,Cellular Confinement,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Others,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,i No religion,Disobedience/disrespect,Disobeys any lawful order,Caution,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,i No religion,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,14,3,42
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,i No religion,Disobedience/disrespect,Disobeys any lawful order,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,i No religion,Unauthorised transactions,Possession of unauthorised articles,Cellular Confinement,5,1,5
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,c Mixed/ Multiple ethnic groups,a Christian,Unauthorised transactions,Drug related offence,Caution,.,2,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Drug related offence,Cellular Confinement,5,1,5
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Assault on a prisoner,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,d Other ethnic group,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,d Other ethnic group,b Muslim,Violence,Fights with any person,Cellular Confinement,10,1,10
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,a Christian,Violence,Fights with any person,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,a Christian,Violence,Fights with any person,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,i No religion,Disobedience/disrespect,Disobeys any lawful order,Caution,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,i No religion,Other offences,Denies access,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,i No religion,Other offences,Denies access,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,i No religion,Other offences,Denies access,Stoppage of earnings,28,2,56
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,Caution,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,Others,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,f Not known,a Christian,Disobedience/disrespect,Fails/refuses to work,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,f Not known,a Christian,Unauthorised transactions,Possession of unauthorised articles,Cellular Confinement,5,1,5
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,f Not known,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,18 - 20,f Not known,a Christian,Violence,Assault on staff,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,a Asian or Asian British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Caution,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any rule or regulation,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Cellular Confinement,5,1,5
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Stoppage of earnings,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Stoppage of earnings,10,1,10
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Absent from where he should be/Present where he should not,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Absent from where he should be/Present where he should not,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Cellular Confinement,7,2,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,Stoppage of earnings,.,2,0
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,Cellular Confinement,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Cellular Confinement,5,1,5
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Stoppage of earnings,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,21,2,42
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Other offences,Absent from where he should be/Present where he should not,Cellular Confinement,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Other offences,Obstructs an officer executing his duty,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,14,2,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,Stoppage of earnings,14,3,42
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Cellular Confinement,10,1,10
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,14,6,84
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,28,3,84
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,34,1,34
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Removal from activity/living unit,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,Stoppage of earnings,14,3,42
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,Stoppage of earnings,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Others,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Wilful Damage,Cause damage to any part of a prison,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,g Other religious groups,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,g Other religious groups,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Violence,Assault on a prisoner,Exclusion from Associated Work,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Violence,Assault on a prisoner,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Violence,Assault on a prisoner,Stoppage of earnings,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Violence,Attempts: Assault on a prisoner,Forfeiture of Privileges,42,1,42
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,a Christian,Unauthorised transactions,Possession of unauthorised articles,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,a Christian,Violence,Fights with any person,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,a Christian,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,a Christian,Violence,Fights with any person,Forfeiture of Privileges,42,1,42
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,a Christian,Violence,Fights with any person,Stoppage of earnings,42,1,42
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,a Christian,Wilful Damage,Cause damage to any part of a prison,Others,.,2,0
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,i No religion,Disobedience/disrespect,Disobeys any lawful order,Cellular Confinement,5,1,5
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,i No religion,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,i No religion,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,i No religion,Disobedience/disrespect,Disobeys any lawful order,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Other offences, Endangers health/safety of any person,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Other offences, Endangers health/safety of any person,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Unauthorised transactions,Drug related offence,Others,.,1,0
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,b Muslim,Disobedience/disrespect,Disobeys any lawful order,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,b Muslim,Violence,Assault on a prisoner,Forfeiture of Privileges,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,b Muslim,Violence,Fights with any person,Stoppage of earnings,14,1,14
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Other offences, Endangers health/safety of any person,Cellular Confinement,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Other offences, Endangers health/safety of any person,Exclusion from Associated Work,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Other offences, Endangers health/safety of any person,Forfeiture of Privileges,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Other offences, Endangers health/safety of any person,Removal from activity/living unit,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Other offences, Endangers health/safety of any person,Stoppage of earnings,21,1,21
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Unauthorised transactions,Drug related offence,Forfeiture of Privileges,28,1,28
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Violence,Assault on a prisoner,Cellular Confinement,7,1,7
Q1,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,Others,.,1,0
